City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,colonia rincon viejo,16.9,-95.05,290.16,85,96,9.84,MX,1702254828
219,wildwood,38.5828,-90.6629,276.21,65,0,0.0,US,1702254667
220,calvinia,-31.4707,19.776,288.02,47,0,3.02,ZA,1702254828
221,sorab,14.3833,75.1,293.66,83,100,2.56,IN,1702254829
222,palafrugell,41.9174,3.1631,283.4,93,100,2.22,ES,1702254829
223,bougouni,11.417,-7.479,295.58,15,100,2.48,ML,1702254829
224,qashyr,53.0675,76.1036,248.69,94,85,3.17,KZ,1702254829
225,kasane,-17.8167,25.15,293.74,81,100,4.2,BW,1702254829
226,inderbor,48.55,51.7833,262.44,67,100,6.9,KZ,1702254829
227,belyy yar,53.6039,91.3903,240.09,75,86,0.0,RU,1702254829
228,lihue,21.9789,-159.3672,300.07,77,20,4.12,US,1702254829
229,fuerte olimpo,-21.0415,-57.8738,296.03,96,87,1.37,PY,1702254829
230,puerto madryn,-42.7692,-65.0385,293.82,43,99,10.39,AR,1702254830
231,prieska,-29.6641,22.7474,289.1,66,0,5.02,ZA,1702254830
232,puerto baquerizo moreno,-0.9,-89.6,297.07,87,29,4.65,EC,1702254747
233,dubai,25.2582,55.3047,294.11,64,0,2.06,AE,1702254782
234,santa cruz,-17.8,-63.1667,299.85,69,75,6.17,BO,1702254607
235,goure,13.9835,10.2704,289.98,28,1,6.73,NE,1702254830
236,fougamou,-1.2154,10.5838,296.94,98,100,0.49,GA,1702254830
237,anadyr,64.75,177.4833,247.59,75,20,5.0,RU,1702254830
238,chonchi,-42.6128,-73.8092,287.71,92,100,1.17,CL,1702254830
239,norfolk,42.1668,-71.2495,289.74,96,100,3.13,US,1702254830
240,kirakira,-10.4544,161.9205,300.81,82,92,0.62,SB,1702254831
241,rio grande,-32.035,-52.0986,293.21,88,97,8.14,BR,1702254831
242,kenora,49.8167,-94.4337,266.69,93,100,3.09,CA,1702254831
243,qaqortoq,60.7167,-46.0333,263.1,74,10,2.0,GL,1702254831
244,micheweni,-4.9667,39.8333,300.1,80,43,3.77,TZ,1702254831
245,east london,-33.0153,27.9116,289.43,76,100,1.93,ZA,1702254831
246,umba,66.6871,34.3429,262.11,93,100,4.18,RU,1702254799
247,inirida,3.8653,-67.9239,297.94,84,89,0.79,CO,1702254831
248,karystos,38.0133,24.4161,286.72,50,100,1.34,GR,1702254831
249,viedma,-40.8135,-62.9967,293.87,44,100,9.01,AR,1702254831
250,bonthe,7.5264,-12.505,299.77,82,17,2.82,SL,1702254832
251,nema,57.5067,50.5011,248.97,95,100,3.1,RU,1702254832
252,antalaha,-14.9003,50.2788,296.37,89,85,2.41,MG,1702254832
253,morehead city,34.7229,-76.726,293.18,88,100,7.72,US,1702254832
254,minas de marcona,-15.2119,-75.1103,289.25,77,92,4.56,PE,1702254832
255,yaren,-0.5472,166.916,301.74,73,56,0.75,NR,1702254832
256,ves'yegonsk,58.664,37.2604,262.83,92,100,4.27,RU,1702254832
257,les cayes,18.2,-73.75,298.97,84,22,3.65,HT,1702254560
258,hualien city,23.9769,121.6044,299.43,75,38,1.18,TW,1702254832
259,callao,-12.0667,-77.15,296.33,77,75,5.14,PE,1702254832
260,bikenibeu village,1.3673,173.1241,302.13,84,100,3.09,KI,1702254833
261,manacapuru,-3.2997,-60.6206,300.06,82,100,1.73,BR,1702254833
262,suzun,53.7841,82.3116,246.88,91,43,1.82,RU,1702254833
263,al jawf,29.5,38.75,291.55,43,100,3.89,SA,1702254833
264,daru,-9.0763,143.2092,299.51,78,100,3.3,PG,1702254833
265,martuk,50.7475,56.5056,254.07,89,8,3.78,KZ,1702254833
266,columbia,34.0007,-81.0348,290.15,94,0,3.6,US,1702254833
267,nieuw amsterdam,5.8833,-55.0833,300.38,85,40,2.06,SR,1702254833
268,kidal,18.4411,1.4078,291.86,19,8,7.11,ML,1702254833
269,alaghsas,17.0187,8.0168,289.42,24,0,4.18,NE,1702254834
270,buta,2.7858,24.73,294.12,99,95,0.5,CD,1702254834
271,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,95,100,6.71,RU,1702254834
272,gwalior,26.2236,78.1792,285.01,100,0,0.0,IN,1702254834
273,meadow lakes,61.6247,-149.6011,268.62,65,100,9.77,US,1702254834
274,berbera,10.4396,45.0143,297.42,73,9,2.23,SO,1702254834
275,tamanrasset,22.785,5.5228,286.1,26,0,3.6,DZ,1702254365
276,nova vicosa,-17.8919,-39.3719,297.89,84,5,3.17,BR,1702254651
277,ixtapa,20.7,-105.2,299.72,78,100,2.06,MX,1702254834
278,la sarre,48.8002,-79.1996,266.99,89,98,3.46,CA,1702254717
279,punta arenas,-53.15,-70.9167,282.21,61,0,3.09,CL,1702254625
280,nagqu,31.5,92.0,259.08,47,0,1.78,CN,1702254835
281,darwin,-12.4611,130.8418,303.74,74,75,5.66,AU,1702254607
282,nar'yan-mar,67.6713,53.087,250.43,91,100,4.92,RU,1702254798
283,ola,59.5833,151.2833,271.01,81,100,8.93,RU,1702254800
284,jumelles,47.4351,-0.1037,286.47,93,100,4.57,FR,1702254835
285,harper,4.375,-7.7169,299.63,83,5,2.61,LR,1702254835
286,dzhangala,49.2167,50.3333,262.29,71,79,6.15,KZ,1702254835
287,dudinka,69.4058,86.1778,247.38,97,100,5.36,RU,1702254835
